path,type,classification,imported_by,imports,artifact_dependency,current_authority,historical_value,safe_to_modify_later,safe_to_delete_later,notes
src/recommend_hybrid/final/legacy_annotation_adapter.py,py,COMPATIBILITY,legacy names,LEGACY_TO_V2_MAP,none,legacy catalogs,low,keep,later,Maps STUDY_SCHEDULE etc.
src/recommend_hybrid/final/simulator/core.py,py,ACTIVE_RUNTIME,docs,SimulationResult stub,no C0 rescoring implemented on main,V2 incomplete vs protocol,high,rebuild later,no,No Hybrid forward; causal_claim_allowed frozen false
src/recommend_hybrid/final/simulator/__init__.py,py,ACTIVE_RUNTIME,core,exports,none,V2,low,yes,no,
configs/recommend_hybrid/final/recommendation.yaml,yaml,FROZEN_EVIDENCE,protocol,grids + runtime_authorized false,not selected thresholds,V2 protocol,high,no overwrite,no,Selected risk 0.2/0.8 live only on 17b519b risk_policy JSON
configs/recommend_hybrid/final/feature_contract.yaml,yaml,FROZEN_EVIDENCE,ranker schema,ranker_features,none,V2,high,adapt later,no,Defines entropy uncertainty and five-seed disagreement
configs/recommend_hybrid/final/llm_annotation_protocol.yaml,yaml,FROZEN_EVIDENCE,Gemini,blinded; current_model_output_visible false,CONFLICT with prompt risk_band,V2,high,no,no,CONFLICT
configs/recommend_hybrid/final/actions.yaml,yaml,FROZEN_EVIDENCE,catalog,five actions,none,V2,high,no unless new action,no,
configs/recommend_hybrid/frozen_imbalance_evidence.yaml,yaml,HISTORICAL,imbalance study,H1,imbalance artifacts,H1,low,no,later,
artifacts/recommend_hybrid/RECOMMEND_HYBRID_CHECKPOINT_MANIFEST.json,json,FROZEN_EVIDENCE,data_builder,H1_TABULAR_RESIDUAL_EXPERT 160492 params 5 seeds 3 folds,canonical_v3 checkpoints,LEGACY H1 not C0,high,no,no,THIS is what V2 actually used
artifacts/recommend_hybrid/final/release/FINAL_RELEASE_MANIFEST.json,json,FROZEN_EVIDENCE,tests,runtime_authorized true Panel B metrics,hashes,V2 release,high,no,no,CONFLICT with dataclass runtime_authorized
artifacts/recommend_hybrid/final/heldout/PANEL_B_FINAL_HELDOUT_METRICS.json,json,FROZEN_EVIDENCE,release tests,NDCG@3 0.95266 vs 0.82759,scores parquet,V2 Panel B,high,no,no,Do not recompute
artifacts/recommend_hybrid/final/heldout/panel_b_real_external_reviews_frozen.jsonl,jsonl,FROZEN_EVIDENCE,portability,557 reviews,Gemini,V2 Panel B,high,no,no,DANGEROUS to overwrite
artifacts/recommend_hybrid/final/panel_a_reviews/panel_a_external_reviews_frozen.jsonl,jsonl,FROZEN_EVIDENCE,Snorkel Gemini source,1117 reviews 300 cases,Gemini,V2 Panel A,high,no,no,
artifacts/recommend_hybrid/final/ranker/final_models/ASSESSMENT_COMPLETION.joblib,joblib,FROZEN_EVIDENCE,FiveEBMRanker,trained on H1 risk features,FIVE_EBM_MANIFEST,V2,high,no,no,RETRAIN_LATER
artifacts/recommend_hybrid/final/ranker/final_models/RECOVER_ENGAGEMENT.joblib,joblib,FROZEN_EVIDENCE,FiveEBMRanker,H1 risk,manifest,V2,high,no,no,
artifacts/recommend_hybrid/final/ranker/final_models/STUDY_REGULARITY.joblib,joblib,FROZEN_EVIDENCE,FiveEBMRanker,H1 risk,manifest,V2,high,no,no,
artifacts/recommend_hybrid/final/ranker/final_models/TARGETED_CONTENT_REVIEW.joblib,joblib,FROZEN_EVIDENCE,FiveEBMRanker,H1 risk,manifest,V2,high,no,no,0 Panel A top1
artifacts/recommend_hybrid/final/ranker/final_models/QUIZ_RETRIEVAL_PRACTICE.joblib,joblib,FROZEN_EVIDENCE,FiveEBMRanker,H1 risk,manifest,V2,high,no,no,
artifacts/recommend_hybrid/final/ranker/FIVE_EBM_MANIFEST.json,json,FROZEN_EVIDENCE,release,features include risk_probability; seed_disagreement excluded,joblibs,V2,high,no,no,
artifacts/recommend_hybrid/final/weak_labels/label_model_manifest.json,json,FROZEN_EVIDENCE,EBM targets,7 sources 3 families,parquets,V2,high,no refit now,no,
artifacts/recommend_hybrid/final/router/ROUTER_FREEZE_MANIFEST.json,json,FROZEN_EVIDENCE,safety_router,thresholds,none,V2,high,revalidate later,no,ood UNAVAILABLE; seed_disagreement UNAVAILABLE
artifacts/recommend_hybrid/final/MIGRATION_MANIFEST.json,json,FROZEN_EVIDENCE,tests,17b519b source; development paths not copied,none,V2 migration,high,no,no,
artifacts/recommend_hybrid/final/development_freeze/DEVELOPMENT_FREEZE_MANIFEST.json,json,FROZEN_EVIDENCE,release lineage,runtime_authorized false,hashes,V2,high,no,no,
reports/recommend_hybrid/final/PANEL_B_FINAL_HELDOUT_RESULTS.md,md,FROZEN_EVIDENCE,humans,Panel B report,metrics json,V2,high,no,no,
reports/recommend_hybrid/final/FINAL_RELEASE_SUMMARY.md,md,FROZEN_EVIDENCE,humans,runtime authorized TRUE,manifest,V2,high,no,no,CONFLICT vs code dataclass
tests/recommendation/final/test_release_evidence.py,py,ACTIVE_DEV,pytest,hash lock Panel B,frozen artifacts,V2,high,yes add V3 later,no,Safe to rerun
tests/recommendation/final/test_public_api.py,py,ACTIVE_DEV,pytest,public exports,none,V2,medium,yes,no,Safe
tests/recommendation/test_frozen_hybrid_imbalance.py,py,HISTORICAL,pytest,imbalance study,H1 embeddings,H1,low,no,later,
scripts/recommendation/final/verify_release.py,py,ACTIVE_DEV,release check,hash verify,frozen,V2,high,safe if read-only,no,Do not train/Gemini
scripts/recommendation/run_frozen_imbalance_evidence.py,py,HISTORICAL,imbalance,writes evidence,imbalance artifacts,H1,medium,no,no,Do not run for V3
scripts/recommendation/__pycache__/run_gemini_labeling.cpython-310.pyc,pyc,DEAD,none,orphaned pyc; .py not on main,would call Gemini,legacy,high,no,yes after confirm,DANGEROUS if restored
scripts/recommendation/__pycache__/bootstrap_panel_b.cpython-310.pyc,pyc,DEAD,none,orphaned pyc,Panel B,legacy,high,no,yes after confirm,DANGEROUS
scripts/reconstruction/rebuild_recommendation_phase8.py,py,HISTORICAL,phase8 recon,would retrain rec,recon artifacts,Phase8 era,high,no,no,DANGEROUS DO NOT RUN
scripts/reconstruction/finalize_phase8_acceptance.py,py,HISTORICAL,audit writer,writes acceptance,audit,Phase8,medium,no,no,DANGEROUS if it trains
artifacts/recommend_hybrid/causal,dir,HISTORICAL,data_builder expected,landmark_rows missing on main,17b519b,H1 OOF,high,copy read-only later,no,Not on main; development_experiment_paths_copied_to_main=false
artifacts/recommend_hybrid/explainable_v2,dir,HISTORICAL,training path,missing on main,17b519b,V2 scientific workspace,high,no merge blindly,no,Full envelopes/prompts/features live only on Module_recomend
src/recommend_hybrid/explainable_v2,dir,HISTORICAL,provider_envelope import,absent on main; present 17b519b,none,V2 source tree,high,do not checkout onto main,no,
