schema_version,case_id,course_context,offering_context,course_progress_day,risk_band,confidence_band,decision_support_status,fail_risk_band,model_disagreement_band,observed_activity,observed_inactivity_weeks,observed_assessment_progress,observed_grade_trend,observed_evidence_status,reason_codes,proposed_action_ids,proposed_actions,weekly_minutes,priority,human_review_required,scope_note
v6_2_expert_case_v1,CASE-016,Course D,Offering 1,120,HIGH_RISK,LOW_CONFIDENCE,ABSTAINED,MEDIUM,HIGH,LOW,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,NONE_ABSTAINED,NONE_ABSTAINED,No automatic action; human review is required.,0,HUMAN_REVIEW,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-017,Course E,Offering 2,134,LOW_RISK,MEDIUM_CONFIDENCE,GENERATED,LOW,MEDIUM,OBSERVED_WITHIN_POLICY_RANGE,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,FOLLOW_UP_REQUIRED,PROGRESS_MONITORING,PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week),20,ROUTINE,NO,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-018,Course B,Offering 1,120,MEDIUM_RISK,LOW_CONFIDENCE,ABSTAINED,MEDIUM,HIGH,LOW,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,NONE_ABSTAINED,NONE_ABSTAINED,No automatic action; human review is required.,0,HUMAN_REVIEW,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-019,Course G,Offering 2,130,CRITICAL_RISK,HIGH_CONFIDENCE,PARTIAL_EVIDENCE,HIGH,LOW,LOW,19.0,BELOW_HALF_OF_DUE_ASSESSMENTS,NOT_AVAILABLE,MISSING_GRADE_TREND_EVIDENCE,ADVISOR_REVIEW_REQUIRED; ASSESSMENT_PROGRESS_DEFICIT; FOLLOW_UP_REQUIRED; LOW_VLE_ENGAGEMENT,ADVISOR_ESCALATION; ASSESSMENT_COMPLETION; VLE_ENGAGEMENT; PROGRESS_MONITORING,"ADVISOR_ESCALATION: Route the case to a qualified advisor for human review before student contact. (30 min/week)
ASSESSMENT_COMPLETION: Review assessments already due by the cutoff and plan completion of any verified outstanding item. (60 min/week)
VLE_ENGAGEMENT: Offer one short, purposeful VLE study session using currently available material. (45 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",155,IMMEDIATE,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-020,Course C,Offering 3,120,LOW_RISK,MEDIUM_CONFIDENCE,GENERATED,LOW,MEDIUM,OBSERVED_WITHIN_POLICY_RANGE,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,FOLLOW_UP_REQUIRED,PROGRESS_MONITORING,PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week),20,ROUTINE,NO,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-021,Course A,Offering 2,134,MEDIUM_RISK,LOW_CONFIDENCE,ABSTAINED,LOW,HIGH,OBSERVED_WITHIN_POLICY_RANGE,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,NONE_ABSTAINED,NONE_ABSTAINED,No automatic action; human review is required.,0,HUMAN_REVIEW,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-022,Course D,Offering 3,120,HIGH_RISK,MEDIUM_CONFIDENCE,GENERATED,MEDIUM,LOW,OBSERVED_WITHIN_POLICY_RANGE,0.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,ADVISOR_REVIEW_REQUIRED; FOLLOW_UP_REQUIRED,ADVISOR_ESCALATION; PROGRESS_MONITORING,"ADVISOR_ESCALATION: Route the case to a qualified advisor for human review before student contact. (30 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",50,HIGH,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-023,Course B,Offering 1,120,CRITICAL_RISK,HIGH_CONFIDENCE,PARTIAL_EVIDENCE,HIGH,LOW,LOW,18.0,BELOW_HALF_OF_DUE_ASSESSMENTS,NOT_AVAILABLE,MISSING_GRADE_TREND_EVIDENCE,ADVISOR_REVIEW_REQUIRED; ASSESSMENT_PROGRESS_DEFICIT; FOLLOW_UP_REQUIRED; LOW_VLE_ENGAGEMENT,ADVISOR_ESCALATION; ASSESSMENT_COMPLETION; VLE_ENGAGEMENT; PROGRESS_MONITORING,"ADVISOR_ESCALATION: Route the case to a qualified advisor for human review before student contact. (30 min/week)
ASSESSMENT_COMPLETION: Review assessments already due by the cutoff and plan completion of any verified outstanding item. (60 min/week)
VLE_ENGAGEMENT: Offer one short, purposeful VLE study session using currently available material. (45 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",155,IMMEDIATE,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-024,Course F,Offering 1,120,HIGH_RISK,LOW_CONFIDENCE,ABSTAINED,MEDIUM,MEDIUM,LOW,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,NONE_ABSTAINED,NONE_ABSTAINED,No automatic action; human review is required.,0,HUMAN_REVIEW,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-025,Course G,Offering 2,130,LOW_RISK,HIGH_CONFIDENCE,GENERATED,LOW,MEDIUM,OBSERVED_WITHIN_POLICY_RANGE,0.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,FOLLOW_UP_REQUIRED,PROGRESS_MONITORING,PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week),20,ROUTINE,NO,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-026,Course C,Offering 3,120,CRITICAL_RISK,HIGH_CONFIDENCE,PARTIAL_EVIDENCE,HIGH,LOW,LOW,18.0,BELOW_HALF_OF_DUE_ASSESSMENTS,NOT_AVAILABLE,MISSING_GRADE_TREND_EVIDENCE,ADVISOR_REVIEW_REQUIRED; ASSESSMENT_PROGRESS_DEFICIT; FOLLOW_UP_REQUIRED; LOW_VLE_ENGAGEMENT,ADVISOR_ESCALATION; ASSESSMENT_COMPLETION; VLE_ENGAGEMENT; PROGRESS_MONITORING,"ADVISOR_ESCALATION: Route the case to a qualified advisor for human review before student contact. (30 min/week)
ASSESSMENT_COMPLETION: Review assessments already due by the cutoff and plan completion of any verified outstanding item. (60 min/week)
VLE_ENGAGEMENT: Offer one short, purposeful VLE study session using currently available material. (45 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",155,IMMEDIATE,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-027,Course E,Offering 2,134,MEDIUM_RISK,LOW_CONFIDENCE,ABSTAINED,MEDIUM,HIGH,LOW,2.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,NONE_ABSTAINED,NONE_ABSTAINED,No automatic action; human review is required.,0,HUMAN_REVIEW,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-028,Course A,Offering 2,134,LOW_RISK,MEDIUM_CONFIDENCE,GENERATED,LOW,MEDIUM,LOW,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,FOLLOW_UP_REQUIRED; LOW_VLE_ENGAGEMENT,VLE_ENGAGEMENT; PROGRESS_MONITORING,"VLE_ENGAGEMENT: Offer one short, purposeful VLE study session using currently available material. (45 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",65,ROUTINE,NO,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-029,Course D,Offering 1,120,HIGH_RISK,LOW_CONFIDENCE,ABSTAINED,HIGH,HIGH,OBSERVED_WITHIN_POLICY_RANGE,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,NONE_ABSTAINED,NONE_ABSTAINED,No automatic action; human review is required.,0,HUMAN_REVIEW,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-030,Course B,Offering 3,117,CRITICAL_RISK,HIGH_CONFIDENCE,PARTIAL_EVIDENCE,HIGH,LOW,LOW,6.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NOT_AVAILABLE,MISSING_GRADE_TREND_EVIDENCE,ADVISOR_REVIEW_REQUIRED; FOLLOW_UP_REQUIRED; LOW_VLE_ENGAGEMENT,ADVISOR_ESCALATION; VLE_ENGAGEMENT; PROGRESS_MONITORING,"ADVISOR_ESCALATION: Route the case to a qualified advisor for human review before student contact. (30 min/week)
VLE_ENGAGEMENT: Offer one short, purposeful VLE study session using currently available material. (45 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",95,IMMEDIATE,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-031,Course F,Offering 1,120,MEDIUM_RISK,MEDIUM_CONFIDENCE,GENERATED,LOW,MEDIUM,LOW,2.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,FOLLOW_UP_REQUIRED; LOW_VLE_ENGAGEMENT,VLE_ENGAGEMENT; PROGRESS_MONITORING,"VLE_ENGAGEMENT: Offer one short, purposeful VLE study session using currently available material. (45 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",65,ROUTINE,NO,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-032,Course G,Offering 3,120,MEDIUM_RISK,LOW_CONFIDENCE,ABSTAINED,MEDIUM,HIGH,LOW,2.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,NONE_ABSTAINED,NONE_ABSTAINED,No automatic action; human review is required.,0,HUMAN_REVIEW,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-033,Course E,Offering 3,120,HIGH_RISK,MEDIUM_CONFIDENCE,PARTIAL_EVIDENCE,HIGH,LOW,OBSERVED_WITHIN_POLICY_RANGE,1.0,BELOW_HALF_OF_DUE_ASSESSMENTS,NOT_AVAILABLE,MISSING_GRADE_TREND_EVIDENCE,ADVISOR_REVIEW_REQUIRED; ASSESSMENT_PROGRESS_DEFICIT; FOLLOW_UP_REQUIRED,ADVISOR_ESCALATION; ASSESSMENT_COMPLETION; PROGRESS_MONITORING,"ADVISOR_ESCALATION: Route the case to a qualified advisor for human review before student contact. (30 min/week)
ASSESSMENT_COMPLETION: Review assessments already due by the cutoff and plan completion of any verified outstanding item. (60 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",110,HIGH,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-034,Course A,Offering 2,134,LOW_RISK,HIGH_CONFIDENCE,GENERATED,LOW,MEDIUM,OBSERVED_WITHIN_POLICY_RANGE,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,FOLLOW_UP_REQUIRED,PROGRESS_MONITORING,PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week),20,ROUTINE,NO,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-035,Course C,Offering 3,120,MEDIUM_RISK,LOW_CONFIDENCE,ABSTAINED,MEDIUM,HIGH,LOW,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,NONE_ABSTAINED,NONE_ABSTAINED,No automatic action; human review is required.,0,HUMAN_REVIEW,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-036,Course B,Offering 1,120,CRITICAL_RISK,HIGH_CONFIDENCE,PARTIAL_EVIDENCE,HIGH,LOW,LOW,18.0,BELOW_HALF_OF_DUE_ASSESSMENTS,NOT_AVAILABLE,MISSING_GRADE_TREND_EVIDENCE,ADVISOR_REVIEW_REQUIRED; ASSESSMENT_PROGRESS_DEFICIT; FOLLOW_UP_REQUIRED; LOW_VLE_ENGAGEMENT,ADVISOR_ESCALATION; ASSESSMENT_COMPLETION; VLE_ENGAGEMENT; PROGRESS_MONITORING,"ADVISOR_ESCALATION: Route the case to a qualified advisor for human review before student contact. (30 min/week)
ASSESSMENT_COMPLETION: Review assessments already due by the cutoff and plan completion of any verified outstanding item. (60 min/week)
VLE_ENGAGEMENT: Offer one short, purposeful VLE study session using currently available material. (45 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",155,IMMEDIATE,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-037,Course D,Offering 2,130,HIGH_RISK,MEDIUM_CONFIDENCE,GENERATED,MEDIUM,MEDIUM,OBSERVED_WITHIN_POLICY_RANGE,0.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,ADVISOR_REVIEW_REQUIRED; FOLLOW_UP_REQUIRED,ADVISOR_ESCALATION; PROGRESS_MONITORING,"ADVISOR_ESCALATION: Route the case to a qualified advisor for human review before student contact. (30 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",50,HIGH,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-038,Course F,Offering 1,120,LOW_RISK,LOW_CONFIDENCE,ABSTAINED,LOW,HIGH,LOW,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,NONE_ABSTAINED,NONE_ABSTAINED,No automatic action; human review is required.,0,HUMAN_REVIEW,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-039,Course G,Offering 2,130,CRITICAL_RISK,HIGH_CONFIDENCE,PARTIAL_EVIDENCE,HIGH,LOW,LOW,16.0,BELOW_HALF_OF_DUE_ASSESSMENTS,NOT_AVAILABLE,MISSING_GRADE_TREND_EVIDENCE,ADVISOR_REVIEW_REQUIRED; ASSESSMENT_PROGRESS_DEFICIT; FOLLOW_UP_REQUIRED; LOW_VLE_ENGAGEMENT,ADVISOR_ESCALATION; ASSESSMENT_COMPLETION; VLE_ENGAGEMENT; PROGRESS_MONITORING,"ADVISOR_ESCALATION: Route the case to a qualified advisor for human review before student contact. (30 min/week)
ASSESSMENT_COMPLETION: Review assessments already due by the cutoff and plan completion of any verified outstanding item. (60 min/week)
VLE_ENGAGEMENT: Offer one short, purposeful VLE study session using currently available material. (45 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",155,IMMEDIATE,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
